id,dt,amount,product,category,db
9fa3b35a-d0ad-11ec-9cbf-08c5e1cbfad9,2017-12-10,31.0,Profi piata,Stuff,expenses
9fa532a6-d0ad-11ec-8acc-08c5e1cbfad9,2017-12-11,2990.0,Impozit masini,Stuff,expenses
9fa69cd7-d0ad-11ec-b5fe-08c5e1cbfad9,2017-12-11,20.0,Tigari cola,Stuff,expenses
9fa7b2e1-d0ad-11ec-b485-08c5e1cbfad9,2017-12-12,74.0,Cartela Orange Vodafone,Stuff,expenses
9fa93ba7-d0ad-11ec-83ef-08c5e1cbfad9,2017-12-12,6.0,Cola,Stuff,expenses
9faa546d-d0ad-11ec-9796-08c5e1cbfad9,2017-12-12,30.0,Motorina,Stuff,expenses
9faba9d0-d0ad-11ec-a884-08c5e1cbfad9,2017-12-12,20.0,Tigari Krax,Stuff,expenses
9face607-d0ad-11ec-85ec-08c5e1cbfad9,2017-12-13,50.0,Motorina,Stuff,expenses
9fae2f07-d0ad-11ec-8371-08c5e1cbfad9,2017-12-13,26.0,Profi piata,Stuff,expenses
9faf431d-d0ad-11ec-a806-08c5e1cbfad9,2017-12-13,15.0,Non Stop,Stuff,expenses
9fb0e234-d0ad-11ec-a55f-08c5e1cbfad9,2017-12-14,30.0,Motorina,Stuff,expenses
9fb27fb2-d0ad-11ec-a41f-08c5e1cbfad9,2017-12-14,17.0,Tigari,Stuff,expenses
9fb3ab69-d0ad-11ec-8211-08c5e1cbfad9,2017-12-14,5.0,Cafea,Stuff,expenses
9fb53f21-d0ad-11ec-bb1a-08c5e1cbfad9,2017-12-14,20.0,Non Stop,Stuff,expenses
9fb63f20-d0ad-11ec-8d27-08c5e1cbfad9,2017-12-15,17.0,Tigari,Stuff,expenses
9fb7470f-d0ad-11ec-9a9b-08c5e1cbfad9,2017-12-15,5.0,Crenvusti,Stuff,expenses
9fb865b1-d0ad-11ec-8267-08c5e1cbfad9,2017-12-16,5.0,Cafea,Stuff,expenses
9fb97fa8-d0ad-11ec-8c75-08c5e1cbfad9,2017-12-16,17.0,Tigari,Stuff,expenses
9fbb2516-d0ad-11ec-b130-08c5e1cbfad9,2017-12-16,10.0,Auchan,Stuff,expenses
9fbc3ce9-d0ad-11ec-b93f-08c5e1cbfad9,2017-12-17,38.0,"Motor stergator, solutie geam, nisip z",Stuff,expenses
9fbd79ff-d0ad-11ec-95c2-08c5e1cbfad9,2017-12-17,40.0,Pizza,Stuff,expenses
9fbe96b6-d0ad-11ec-99c6-08c5e1cbfad9,2017-12-17,17.0,Tigari,Stuff,expenses
9fbfc831-d0ad-11ec-8eed-08c5e1cbfad9,2017-12-18,46.0,Non Stop,Stuff,expenses
9fc17e24-d0ad-11ec-8a3e-08c5e1cbfad9,2017-12-19,50.0,Bianca,Stuff,expenses
9fc2a7ef-d0ad-11ec-a357-08c5e1cbfad9,2017-12-19,17.0,Tigari,Stuff,expenses
9fc3d868-d0ad-11ec-8314-08c5e1cbfad9,2017-12-19,5.0,Brick,Stuff,expenses
9fc52c7a-d0ad-11ec-93eb-08c5e1cbfad9,2017-12-19,3.0,Corn,Stuff,expenses
9fc662a6-d0ad-11ec-adf6-08c5e1cbfad9,2017-12-20,25.0,Benzina,Stuff,expenses
9fc7a9cd-d0ad-11ec-b3e4-08c5e1cbfad9,2017-12-20,15.0,Auchan,Stuff,expenses
9fc8aa66-d0ad-11ec-943b-08c5e1cbfad9,2017-12-20,17.0,Tigari,Stuff,expenses
9fca2899-d0ad-11ec-83be-08c5e1cbfad9,2017-12-20,13.0,Profi piata,Stuff,expenses
9fcb255c-d0ad-11ec-9eba-08c5e1cbfad9,2017-12-21,50.0,Motorina,Stuff,expenses
9fcc7442-d0ad-11ec-8628-08c5e1cbfad9,2017-12-21,50.0,Piata,Stuff,expenses
9fcdd573-d0ad-11ec-bfc5-08c5e1cbfad9,2017-12-22,10.0,McDonalds,Stuff,expenses
9fcf5f0b-d0ad-11ec-8181-08c5e1cbfad9,2017-12-22,17.0,Tigari,Stuff,expenses
9fd047c9-d0ad-11ec-8b40-08c5e1cbfad9,2017-12-22,17.0,Kaufland,Stuff,expenses
9fd1cfda-d0ad-11ec-9d98-08c5e1cbfad9,2017-12-23,120.0,Cadou,Stuff,expenses
9fd2bf5c-d0ad-11ec-b205-08c5e1cbfad9,2017-12-23,5.0,RedBull,Stuff,expenses
9fd43d43-d0ad-11ec-a882-08c5e1cbfad9,2017-12-23,33.0,Tigari,Stuff,expenses
9fd5876e-d0ad-11ec-80a7-08c5e1cbfad9,2017-12-23,5.0,Cola,Stuff,expenses
9fd6be9d-d0ad-11ec-a7e3-08c5e1cbfad9,2017-12-24,13.0,Auchan,Stuff,expenses
9fd7a5eb-d0ad-11ec-beb9-08c5e1cbfad9,2017-12-24,17.0,Tigari,Stuff,expenses
9fd8c9ff-d0ad-11ec-b08a-08c5e1cbfad9,2017-12-25,5.0,Suc,Stuff,expenses
9fda0062-d0ad-11ec-8674-08c5e1cbfad9,2017-12-25,17.0,Tigari,Stuff,expenses
9fdb1e22-d0ad-11ec-9a84-08c5e1cbfad9,2017-12-25,8.0,Bere,Stuff,expenses
9fdc2404-d0ad-11ec-8069-08c5e1cbfad9,2017-12-26,30.0,Motorina,Stuff,expenses
9fdd1700-d0ad-11ec-960e-08c5e1cbfad9,2017-12-26,5.0,Cola,Stuff,expenses
9fdeadd3-d0ad-11ec-a88d-08c5e1cbfad9,2017-12-26,5.0,Nurofen,Stuff,expenses
9fdfe1b3-d0ad-11ec-bdd2-08c5e1cbfad9,2017-12-27,6.0,McDonalds,Stuff,expenses
9fe1563b-d0ad-11ec-b63c-08c5e1cbfad9,2017-12-27,23.0,Lidl,Stuff,expenses
